Service/Application;Port(s);Protocole;Description;Destination (VM/PC)
Steam - Client;27015-27030;TCP/UDP;Steam gaming ports;
Steam - Client;27036-27037;TCP;Steam client;
Steam - Client;4380;UDP;Steam client;
Steam - Client;443;TCP;Steam HTTPS;
Satisfactory Server;7777;UDP;Game port principal;
Satisfactory Server;15000;UDP;Beacon port;
Satisfactory Server;15777;UDP;Query port;
Satisfactory Client;7777;UDP;Game port sortant;
Satisfactory Client;15000;UDP;Beacon sortant;
VPN - OpenVPN;1194;UDP;OpenVPN standard;
VPN - WireGuard;51820;UDP;WireGuard standard;
VPN - IPSec;500;UDP;IKE (Internet Key Exchange);
VPN - IPSec;4500;UDP;NAT-T (NAT Traversal);
VPN - L2TP;1701;UDP/TCP;L2TP;
VPN - PPTP;1723;TCP;PPTP (non recommandé);
Grafana;3000;TCP;Interface web Grafana;
Contrôle à distance - RDP;3389;TCP;Remote Desktop Protocol;
Contrôle à distance - VNC;5900;TCP;VNC standard;
Contrôle à distance - SSH;22;TCP;Secure Shell;
QNAP - Web HTTP;8080;TCP;Interface web HTTP;
QNAP - Web HTTPS;443;TCP;Interface web HTTPS;
QNAP - Web HTTPS Alt;8081;TCP;Interface web HTTPS alternative;
QNAP - Management;5000;TCP;QNAP Management HTTP;
QNAP - Management SSL;5001;TCP;QNAP Management HTTPS;
QNAP - SMB;139;TCP;NetBIOS Session;
QNAP - SMB;445;TCP;SMB/CIFS;
QNAP - AFP;548;TCP;Apple Filing Protocol;
QNAP - FTP;21;TCP;FTP;
QNAP - FTPS;990;TCP;FTP over SSL;
Wake on LAN;7;UDP;WOL Magic Packet (alternative);
Wake on LAN;9;UDP;WOL Magic Packet (standard);
Proxmox;8006;TCP;Interface web Proxmox HTTPS;
Proxmox - VNC;5900-5999;TCP;Console VNC pour VMs;
Proxmox - SPICE;3128;TCP;Console SPICE;
Proxmox - SSH;22;TCP;SSH pour administration;
IMM-2 HTTPS;443;TCP;IBM Integrated Management Module;
SCUM - Game;7777;UDP;SCUM game port principal;
SCUM - Game;7778;UDP;SCUM query port;
SCUM - Steam Query;27015;TCP/UDP;Steam query pour SCUM;
Home Assistant;8123;TCP;Interface web Home Assistant;
Home Assistant - Secure;8443;TCP;HTTPS pour Home Assistant (optionnel);
